date,MedianListingPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,state_id
2011-07-31,111.060606060606,0.9276914769056851,67.92,24.0,37
2011-08-31,110.42197677711701,0.932819802601126,67.31,24.35,37
2011-09-30,108.58481454597299,0.91941590048675,66.15,25.26,37
2011-10-31,107.404021937843,0.9108227299016771,64.96,26.19,37
2011-11-30,106.216790648247,0.912996777658432,63.48,27.4,37
2011-12-31,104.221770091556,0.9122670807453421,62.55,28.23,37
2012-01-31,105.0,0.923970432946146,61.21,29.35,37
2012-02-29,105.44384502207,0.9285714285714292,60.08,30.13,37
2012-03-31,106.110611510791,0.9516837481698391,58.47,31.59,37
2012-04-30,106.55150145301901,0.9714142496154692,56.47,33.09,37
2012-05-31,106.60980810234501,0.9740259740259741,55.11,34.12,37
2012-06-30,106.583333333333,0.980975029726516,53.35,35.3,37
2012-07-31,105.617476593848,0.965623792970259,51.58,36.79,37
2012-08-31,104.166666666667,0.9499683343888541,50.51,37.87,37
2012-09-30,103.29098492786301,0.933333333333333,50.24,38.03,37
2012-10-31,102.931854199683,0.924912818475783,50.26,38.17,37
2012-11-30,105.80500320718399,0.9191176470588229,50.21,38.54,37
2012-12-31,104.634894441355,0.915841584158416,49.55,39.27,37
2013-01-31,104.61397755388599,0.9269391136638271,49.41,39.45,37
2013-02-28,106.89839572192498,0.944444444444444,49.17,39.74,37
2013-03-31,108.375459509998,0.966387725956648,48.38,40.4,37
2013-04-30,109.64912280701799,0.9911775374835899,47.63,41.01,37
2013-05-31,111.948494812945,1.01273148148148,45.73,43.11,37
2013-06-30,112.582781456954,1.0204081632653101,43.14,45.67,37
2013-07-31,111.2445989679,1.0,40.34,48.61,37
2013-08-31,109.412015231987,0.9765625,38.14,51.07,37
2013-09-30,109.94500458295099,0.9593679458239279,36.25,53.17,37
2013-10-31,109.031835838541,0.9421052631578951,33.12,57.05,37
2013-11-30,107.851596203624,0.933786078098472,30.84,59.99,37
2013-12-31,109.792284866469,0.926395939086294,29.11,62.49,37
2014-01-31,107.560706401766,0.927174066317142,27.57,64.72,37
2014-02-28,106.918687589158,0.923295454545455,26.24,66.48,37
2014-03-31,109.055,0.9269067796610171,25.62,67.21,37
2014-04-30,111.23046875,0.9375,25.31,67.5,37
2014-05-31,111.99600000000001,1.0,27.12,65.89,37
2014-06-30,112.09935897435899,1.00949367088608,29.57,63.71,37
2014-07-31,110.695187165775,1.00081699346405,31.58,61.68,37
2014-08-31,109.494026454274,0.9765625,33.72,59.63,37
2014-09-30,109.56632653061199,0.970588235294118,35.57,58.05,37
2014-10-31,109.74025974025999,0.9523809523809521,38.19,55.47,37
2014-11-30,108.24088651346202,0.938477589246721,40.58,53.26,37
2014-12-31,106.58841250597,0.938113337705825,43.0,50.89,37
2015-01-31,106.251475261008,0.9473911070780401,45.39,48.6,37
2015-02-28,107.508626763589,0.959773753945603,45.63,48.28,37
2015-03-31,110.103861342582,0.9906023124426401,45.53,48.28,37
2015-04-30,112.312635336409,1.01471334348047,44.97,47.62,37
2015-05-31,113.925081433225,1.02575294631165,44.86,46.86,37
2015-06-30,113.43382909348101,1.02617999247721,44.82,46.19,37
2015-07-31,112.27024029574899,1.02108318226189,44.6,46.1,37
2015-08-31,111.01599622469601,1.0,43.72,46.86,37
2015-09-30,110.734935304991,0.984848484848485,42.4,48.03,37
2015-10-31,109.97195912753,0.9765625,41.33,49.4,37
2015-11-30,109.64912280701799,0.9671179883945841,40.51,50.56,37
2015-12-31,107.92,0.9641215157512779,34.97,55.58,37
2016-01-31,106.779726236046,0.971983990851915,34.65,56.19,37
2016-02-29,107.152078492125,0.9813596491228069,33.24,57.93,37
2016-03-31,110.483870967742,1.00806451612903,32.3,58.61,37
2016-04-30,112.820512820513,1.02482678983834,32.24,58.56,37
2016-05-31,113.838777253498,1.03494511746666,29.14,59.64,37
2016-06-30,113.88888888888901,1.02611940298507,29.3,59.28,37
2016-07-31,112.926136363636,1.0103264790764799,28.8,60.01,37
2016-08-31,111.517857142857,0.997899159663866,27.68,61.22,37
2016-09-30,111.794070214534,0.984087102177554,25.7,63.63,37
2016-10-31,111.607142857143,0.970504139627515,24.23,65.66,37
2016-11-30,110.73968855218901,0.9764603312990409,22.66,67.83,37
2016-12-31,109.271523178808,0.974398400215097,21.68,69.19,37
2017-01-31,109.21816319563,0.987654320987654,20.82,70.45,37
2017-02-28,110.55457704585599,1.0,21.51,69.67,37
2017-03-31,113.697656300721,1.03326027969109,21.84,69.16,37
2017-04-30,116.219008264463,1.0567296996663,22.79,67.81,37
2017-05-31,118.824306472919,1.06026785714286,23.18,67.26,37
2017-06-30,119.047619047619,1.05849582172702,23.54,66.73,37
2017-07-31,118.661123573079,1.04939911572926,26.54,63.42,37
2017-08-31,117.794690530675,1.0411402635766,25.88,63.95,37
2017-09-30,117.77070063694299,1.02439024390244,26.51,63.42,37
2017-10-31,118.32298136646001,1.01818438914027,27.19,62.98,37
2017-11-30,117.825133817293,1.0159010600706702,28.87,61.27,37
2017-12-31,116.315713772024,1.00911458333333,29.62,60.76,37
2010-02-28,135.851449275362,0.953947368421053,60.53,27.7,45
2010-03-31,136.433430018555,0.939143501126972,59.52,28.55,45
2010-04-30,137.52052545156,0.946866485013624,58.23,29.83,45
2010-05-31,136.713151950579,0.947176684881603,57.09,31.09,45
2010-06-30,135.64495743518,0.964190729483283,56.61,31.42,45
2010-07-31,135.050251256281,0.9730225443312441,56.75,31.43,45
2010-08-31,133.588396165885,0.9440657658638941,57.37,31.31,45
2010-09-30,133.891493636973,0.9399175813720849,58.6,30.35,45
2010-10-31,132.789317507418,0.9415064102564101,60.37,28.73,45
2010-11-30,131.233595800525,0.9628544408787191,62.14,27.17,45
2010-12-31,129.184881140337,0.9669354838709681,62.93,26.48,45
2011-01-31,127.401960784314,0.9375,63.39,26.33,45
2011-02-28,126.598191282621,0.9375,63.98,25.79,45
2011-03-31,127.84090909090901,0.948687350835322,63.24,26.66,45
2011-04-30,127.857142857143,0.9657594381036,64.53,25.39,45
2011-05-31,129.038504247404,0.9748589020010259,65.66,24.15,45
2011-06-30,129.690618762475,0.974658869395711,66.05,23.89,45
2011-07-31,128.939895278389,0.980392156862745,65.57,24.18,45
2011-08-31,128.316035733436,0.970325187001404,64.31,25.17,45
2011-09-30,127.5,0.948412698412698,62.85,26.35,45
2011-10-31,125.94055449151001,0.9466374269005849,61.0,27.94,45
2011-11-30,123.106060606061,0.9409448818897641,58.54,30.27,45
2011-12-31,120.829975825947,0.9418338007705942,56.4,32.03,45
2012-01-31,120.567375886525,0.9500351864883879,54.1,34.0,45
2012-02-29,120.889251541892,0.952535962301587,51.82,36.02,45
2012-03-31,123.296158612144,0.9600313479623821,50.32,37.38,45
2012-04-30,124.53413284132799,0.964912280701754,47.34,39.99,45
2012-05-31,125.27565664928001,0.9774436090225559,44.52,42.59,45
2012-06-30,125.235294117647,0.98122866894198,41.96,45.0,45
2012-07-31,124.005427397937,0.9813340301688801,39.81,47.05,45
2012-08-31,123.54758961681101,0.975441909220143,38.55,48.22,45
2012-09-30,122.893258426966,0.966528509409775,37.26,49.55,45
2012-10-31,123.32060933211201,0.979722403853853,36.68,50.22,45
2012-11-30,126.81686046511601,0.9876814186149859,35.93,51.45,45
2012-12-31,125.162925928862,0.9920634920634921,35.8,51.89,45
2013-01-31,124.964285714286,0.987525987525988,35.25,52.77,45
2013-02-28,126.585623678647,1.0,34.24,54.18,45
2013-03-31,129.00630235416799,1.01690507152146,33.31,55.45,45
2013-04-30,131.075174825175,1.01610169491525,31.95,57.18,45
2013-05-31,133.584562367457,1.00822293381098,30.46,59.18,45
2013-06-30,134.408602150538,1.00571088982621,28.1,62.01,45
2013-07-31,133.22368421052602,1.0126628075253299,25.98,65.01,45
2013-08-31,132.80859375,1.00799788926081,24.45,67.24,45
2013-09-30,132.694198623402,1.00579374491859,23.22,69.13,45
2013-10-31,132.565442044443,1.00251677852349,22.18,70.55,45
2013-11-30,130.465738025063,0.989583333333333,21.61,71.48,45
2013-12-31,130.255874734189,1.00732600732601,21.23,72.11,45
2014-01-31,129.87987987988,0.994318181818182,19.77,73.97,45
