state_abr,crime_rate_per_100000,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,year
 GA,295.5525950400001,62389.591194968554,61685.10062893082,4.610062893081761,3.7735849056603774,98.46702830188678,234.0251572327044,2105.723270440252,3.6666666666666665,13.320754716981131,77.88679245283019,139.1572327044025,540.1761006289308,1387.0754716981132,178.44654088050314,7.628930817610063,62843.81761006289,13,161.49056603773585,2016
 HI,203.3638081,278462.6,278462.6,1.0,0.8,80.0,675.6,8683.8,4.2,55.8,225.0,390.6,1530.6,6380.2,773.0,62.4,280810.8,15,5.0,2016
 IA,168.58333933651522,31052.383838383837,30038.151515151516,2.484848484848485,2.4242424242424243,94.55900909090909,80.11111111111111,695.4343434343434,0.494949494949495,8.878787878787879,9.646464646464647,61.111111111111114,171.1919191919192,484.35353535353534,39.90909090909091,5.656565656565657,31216.323232323233,19,99.0,2016
 ID,156.56105630431819,36266.545454545456,36255.47727272727,2.4545454545454546,2.477272727272727,99.57754545454546,73.56818181818181,718.6136363636364,0.5681818181818182,10.772727272727273,5.386363636363637,56.77272727272727,163.36363636363637,524.0227272727273,31.15909090909091,5.409090909090909,36639.454545454544,16,44.0,2016
 IL,242.7878834759707,126227.99019607843,122410.01960784313,9.343137254901961,7.970588235294118,98.79556176470587,509.4117647058824,3179.950980392157,7.529411764705882,27.19607843137255,189.30392156862746,285.37254901960785,680.1176470588235,2245.0588235294117,254.76470588235293,22.058823529411764,126295.44117647059,17,102.0,2016
 IN,139.11894647260868,71057.97826086957,63306.0,4.021739130434782,3.4782608695652173,95.88814891304347,235.47826086956522,2014.7826086956522,3.391304347826087,16.902173913043477,70.42391304347827,144.82608695652175,486.30434782608694,1388.0326086956522,140.44565217391303,13.16304347826087,71422.84782608696,18,92.0,2016
 KS,237.48036883533334,27484.809523809523,27274.914285714287,3.742857142857143,3.5047619047619047,93.90996476190476,98.17142857142858,861.9142857142857,0.8095238095238095,10.552380952380952,14.209523809523809,72.54285714285714,179.26666666666668,618.2190476190476,64.34285714285714,7.857142857142857,27561.495238095238,20,105.0,2016
 KY,98.71789588420837,36503.458333333336,35984.525,4.808333333333334,3.033333333333333,99.132965,80.65,924.1166666666667,1.5083333333333333,10.741666666666667,28.85,39.358333333333334,244.025,624.9333333333333,55.15833333333333,5.8,36627.458333333336,21,120.0,2016
 LA,397.678397939375,71904.578125,69377.59375,3.828125,3.203125,97.47954843749999,343.78125,2444.96875,7.609375,17.296875,83.203125,235.65625,634.921875,1690.296875,119.78125,8.875,72272.96875,22,64.0,2016
 MA,392.38127441428566,474724.5714285714,465167.78571428574,31.428571428571427,25.714285714285715,99.08734285714286,1901.2142857142858,10044.642857142857,8.714285714285714,115.92857142857143,462.2142857142857,1314.4285714285713,2426.285714285714,6969.285714285715,648.9285714285714,43.785714285714285,478058.85714285716,25,14.0,2016
