,Code,Name
356,40137,Stephens County
357,40139,Texas County
358,40141,Tillman County
359,40143,Tulsa County
360,40145,Wagoner County
361,40147,Washington County
362,40149,Washita County
363,40151,Woods County
364,40153,Woodward County
365,19001,Adair County
366,19003,Adams County
367,19005,Allamakee County
368,19007,Appanoose County
369,19009,Audubon County
370,19011,Benton County
371,19013,Black Hawk County
372,19015,Boone County
373,19017,Bremer County
374,19019,Buchanan County
375,19021,Buena Vista County
376,19023,Butler County
377,19025,Calhoun County
378,19027,Carroll County
379,19029,Cass County
380,19031,Cedar County
381,19033,Cerro Gordo County
382,19035,Cherokee County
383,19037,Chickasaw County
384,19039,Clarke County
385,19041,Clay County
386,19043,Clayton County
387,19045,Clinton County
388,19047,Crawford County
389,19049,Dallas County
390,19051,Davis County
391,19053,Decatur County
392,19055,Delaware County
393,19057,Des Moines County
394,19059,Dickinson County
395,19061,Dubuque County
396,19063,Emmet County
397,19065,Fayette County
398,19067,Floyd County
399,19069,Franklin County
400,19071,Fremont County
401,19073,Greene County
402,19075,Grundy County
403,19077,Guthrie County
404,19079,Hamilton County
405,19081,Hancock County
406,19083,Hardin County
407,19085,Harrison County
408,19087,Henry County
409,19089,Howard County
410,19091,Humboldt County
411,19093,Ida County
412,19095,Iowa County
413,19097,Jackson County
414,19099,Jasper County
415,19101,Jefferson County
416,19103,Johnson County
417,19105,Jones County
418,19107,Keokuk County
419,19109,Kossuth County
420,19111,Lee County
421,19113,Linn County
422,19115,Louisa County
423,19117,Lucas County
424,19119,Lyon County
425,19121,Madison County
426,19123,Mahaska County
427,19125,Marion County
428,19127,Marshall County
429,19129,Mills County
430,19131,Mitchell County
431,19133,Monona County
432,19135,Monroe County
433,19137,Montgomery County
434,19139,Muscatine County
435,19141,O'Brien County
436,19143,Osceola County
437,19145,Page County
438,19147,Palo Alto County
439,19149,Plymouth County
440,19151,Pocahontas County
441,19153,Polk County
442,19155,Pottawattamie County
443,19157,Poweshiek County
444,19159,Ringgold County
445,19161,Sac County
446,19163,Scott County
447,19165,Shelby County
448,19167,Sioux County
449,19169,Story County
450,19171,Tama County
451,19173,Taylor County
452,19175,Union County
453,19177,Van Buren County
454,19179,Wapello County
455,19181,Warren County
456,19183,Washington County
457,19185,Wayne County
458,19187,Webster County
459,19189,Winnebago County
460,19191,Winneshiek County
461,19193,Woodbury County
462,19195,Worth County
463,19197,Wright County
464,29001,Adair County
465,29003,Andrew County
466,29005,Atchison County
467,29007,Audrain County
468,29009,Barry County
469,29011,Barton County
470,29013,Bates County
471,29015,Benton County
472,29017,Bollinger County
473,29019,Boone County
474,29021,Buchanan County
475,29023,Butler County
476,29025,Caldwell County
477,29027,Callaway County
478,29029,Camden County
479,29031,Cape Girardeau County
480,29033,Carroll County
481,29035,Carter County
482,29037,Cass County
483,29039,Cedar County
484,29041,Chariton County
485,29043,Christian County
486,29045,Clark County
487,29047,Clay County
488,29049,Clinton County
489,29051,Cole County
490,29053,Cooper County
491,29055,Crawford County
492,29057,Dade County
493,29059,Dallas County
494,29061,Daviess County
495,29063,DeKalb County
496,29065,Dent County
497,29067,Douglas County
498,29069,Dunklin County
499,29071,Franklin County
500,29073,Gasconade County
501,29075,Gentry County
502,29077,Greene County
503,29079,Grundy County
504,29081,Harrison County
505,29083,Henry County
506,29085,Hickory County
507,29087,Holt County
508,29089,Howard County
509,29091,Howell County
510,29093,Iron County
511,29095,Jackson County
512,29097,Jasper County
513,29099,Jefferson County
514,29101,Johnson County
515,29103,Knox County
516,29105,Laclede County
517,29107,Lafayette County
518,29109,Lawrence County
519,29111,Lewis County
520,29113,Lincoln County
521,29115,Linn County
522,29117,Livingston County
523,29121,Macon County
524,29123,Madison County
525,29125,Maries County
526,29127,Marion County
527,29119,McDonald County
528,29129,Mercer County
529,29131,Miller County
530,29133,Mississippi County
531,29135,Moniteau County
532,29137,Monroe County
533,29139,Montgomery County
534,29141,Morgan County
535,29143,New Madrid County
536,29145,Newton County
537,29147,Nodaway County
538,29149,Oregon County
539,29151,Osage County
540,29153,Ozark County
541,29155,Pemiscot County
542,29157,Perry County
543,29159,Pettis County
544,29161,Phelps County
545,29163,Pike County
546,29165,Platte County
547,29167,Polk County
548,29169,Pulaski County
549,29171,Putnam County
550,29173,Ralls County
551,29175,Randolph County
552,29177,Ray County
553,29179,Reynolds County
554,29181,Ripley County
555,29195,Saline County
556,29197,Schuyler County
557,29199,Scotland County
558,29201,Scott County
559,29203,Shannon County
560,29205,Shelby County
561,29183,St. Charles County
562,29185,St. Clair County
563,29187,St. Francois County
564,29510,St. Louis city
565,29189,St. Louis County
566,29186,Ste. Genevieve County
567,29207,Stoddard County
568,29209,Stone County
569,29211,Sullivan County
570,29213,Taney County
571,29215,Texas County
572,29217,Vernon County
573,29219,Warren County
574,29221,Washington County
575,29223,Wayne County
576,29225,Webster County
577,29227,Worth County
578,29229,Wright County
579,21001,Adair County
580,21003,Allen County
581,21005,Anderson County
582,21007,Ballard County
583,21009,Barren County
584,21011,Bath County
585,21013,Bell County
586,21015,Boone County
587,21017,Bourbon County
588,21019,Boyd County
589,21021,Boyle County
590,21023,Bracken County
591,21025,Breathitt County
592,21027,Breckinridge County
593,21029,Bullitt County
594,21031,Butler County
595,21033,Caldwell County
596,21035,Calloway County
597,21037,Campbell County
598,21039,Carlisle County
599,21041,Carroll County
600,21043,Carter County
601,21045,Casey County
602,21047,Christian County
603,21049,Clark County
604,21051,Clay County
605,21053,Clinton County
606,21055,Crittenden County
607,21057,Cumberland County
608,21059,Daviess County
609,21061,Edmonson County
610,21063,Elliott County
611,21065,Estill County
612,21067,Fayette County
613,21069,Fleming County
614,21071,Floyd County
615,21073,Franklin County
616,21075,Fulton County
617,21077,Gallatin County
618,21079,Garrard County
619,21081,Grant County
620,21083,Graves County
621,21085,Grayson County
622,21087,Green County
623,21089,Greenup County
624,21091,Hancock County
625,21093,Hardin County
626,21095,Harlan County
627,21097,Harrison County
628,21099,Hart County
629,21101,Henderson County
630,21103,Henry County
631,21105,Hickman County
632,21107,Hopkins County
633,21109,Jackson County
634,21111,Jefferson County
635,21113,Jessamine County
636,21115,Johnson County
637,21117,Kenton County
638,21119,Knott County
639,21121,Knox County
640,21123,Larue County
